,mean_abs_shap
pm25,31.13582082140604
co,0.8191562873065434
pm10,0.722983016678609
wind_speed,0.27444258961494405
no2,0.1642821635309581
so2,0.06582125999499673
day_of_week,0.0552435278427588
humidity,0.04978068074674112
day,0.044301846404462795
temperature,0.04277408200335893
o3,0.038929454951503246
month,0.02629372831093997
hour,0.020798864054132137
